major,family members,daily study time,reason for choosing their major,studies outside of what is taught in university,semester,passed credits / semesster,failed credits / semseter,interest in higher studies,english level,mathematics level,interest in current major,daily phone usage,health level,working,sessions absent,time spent with friends,gpa
مهندسی کامپیوتر,4,1,علاقه شخصی,1,8,15.63,0,1,4,3,5,8,1,0,1,1,17.7
مهندسی کامپیوتر,4,3,علاقه شخصی,1,8,15.88,0,1,4,3,5,6,4,1,2,2,18.34
مهندسی کامپیوتر,5,3,علاقه شخصی,1,8,14.75,1.13,1,4,3,5,7,4,1,3,3,15
مهندسی کامپیوتر,4,1,علاقه شخصی,1,8,15,1.13,0,4,3,5,5,5,1,2,2,15.34
مهندسی کامپیوتر,5,0,علاقه شخصی,0,7,17.71,1.29,1,2,1,4,5,4,1,1,2,16
مهندسی کامپیوتر,4,4,بازار کار,1,2,8.5,1,1,3,3,4,7,5,0,0,1,18.78
مهندسی کامپیوتر,4,1,بازار کار,1,5,13,3,1,4,3,4,2,4,1,1,4,14
مهندسی کامپیوتر,5,0,بازار کار,0,2,8.5,0,1,2,3,3,8,4,0,2,2,18
مهندسی کامپیوتر,6,1,علاقه شخصی,1,8,12.5,0.38,1,3,3,4,4,3,0,2,3,15.15
علوم آزمایشگاهی,3,1,علاقه شخصی,0,4,13.75,0,1,3,2,4,6,3,0,0,1,17
مهندسی کامپیوتر,4,1,بازار کار,1,8,15.13,1.13,0,3,2,4,4,4,0,3,5,15.4
مهندسی کامپیوتر,4,3,علاقه شخصی,1,8,12.5,2.5,1,2,5,5,5,3,0,3,8,15
مهندسی کامپیوتر,4,0,بازار کار,1,4,14,1.5,1,3,1,5,10,1,0,3,1,14
صنايع غذايى,4,0,شانسی در اومدنش داخل کنکور,1,8,16.25,0,0,4,3,1,6,1,0,4,4,17.5
مهندسی کامپیوتر,4,2,علاقه شخصی,1,8,15.88,0.5,1,2,3,4,3,3,1,1,2,16.5
مهندسی کامپیوتر,5,4,علاقه شخصی,1,8,13.5,0.38,0,4,2,5,1,3,0,2,1,16
مهندسی کامپیوتر,4,1,علاقه شخصی,1,8,9.13,5.63,1,3,1,4,3,3,1,3,0,12
علوم ورزشی,6,1,علاقه شخصی,1,6,16.33,0,1,3,4,5,1,5,0,0,1,19.88
مهندسی کامپیوتر,4,1,بازار کار,1,8,14.75,0.75,1,3,2,3,7,4,0,5,2,15.26
مهندسی کامپیوتر,4,1,علاقه شخصی,1,6,16.17,0,0,2,1,5,5,5,0,1,1,16
مهندسی کامپیوتر,4,1,علاقه شخصی,1,5,17.8,0,1,2,4,4,4,4,0,4,2,16
مهندسی پزشکی,5,4,علاقه شخصی,1,7,15.71,5.71,0,3,4,5,5,3,0,1,2,14.33
علوم آزمایشگاهی,4,4,شانسی در اومدنش داخل کنکور,1,2,18.5,1.5,1,4,2,3,4,4,0,2,1,16
معماری,3,3,علاقه شخصی,1,4,14.75,0,1,3,2,5,4,4,0,2,2,16.8
علوم آزمایشگاهی,2,1,شانسی در اومدنش داخل کنکور,0,4,13.75,0.75,1,2,2,5,5,1,0,3,3,14
علوم آزمایشگاهی,4,2,شانسی در اومدنش داخل کنکور,0,4,14.75,0,1,2,3,3,7,2,0,1,2,16.6
مهندسی کامپیوتر,7,2,بازار کار,1,6,14,0.5,1,2,3,3,6,4,0,2,1,16
پرستاری,4,2,بازار کار,1,5,16.5,0,1,3,4,4,4,5,0,0,1,18
علوم آزمایشگاهی,4,2,شانسی در اومدنش داخل کنکور,1,4,13.5,0,1,3,3,2,5,4,0,2,2,17
کاردرمانی,5,2,بازار کار,1,4,15,0.25,1,4,3,3,6,3,0,3,3,17
مهندسی کامپیوتر,5,1,علاقه شخصی,1,8,16.63,0,1,3,3,3,3,4,1,1,1,16.37
علوم آزمایشگاهی,6,1,شانسی در اومدنش داخل کنکور,0,6,10.67,0.83,1,1,3,3,4,3,0,2,2,14
هوش بری,5,7,علاقه شخصی,1,2,9,0,1,4,3,4,4,4,1,0,2,18
علوم آزمایشگاهی,3,2,شانسی در اومدنش داخل کنکور,0,4,14.25,0.75,1,3,5,4,4,3,0,0,2,16.17
علوم آزمایشگاهی,5,1,شانسی در اومدنش داخل کنکور,1,6,15.67,0.33,1,2,3,4,4,3,0,0,3,16.4
معماری,3,1,علاقه شخصی,1,4,15,0,1,4,2,4,6,4,1,2,0,17.8
علوم آزمایشگاهی,4,1,شانسی در اومدنش داخل کنکور,0,4,14.25,0,0,3,4,2,8,2,0,2,3,15
مهندسی کامپیوتر,4,1,علاقه شخصی,1,4,19.5,0.75,1,5,3,4,10,4,0,2,4,15.51
گرافیک,6,3,علاقه شخصی,1,8,15.5,0.25,1,4,1,5,10,5,1,3,3,18
حقوق,5,0,بازار کار,0,6,18.33,0,1,3,2,4,7,3,0,3,2,17.1
تربیت بدنی,3,1,علاقه شخصی,1,7,19.14,0,1,2,3,4,8,3,0,2,1,18.41
علوم ورزشی,5,3,شانسی در اومدنش داخل کنکور,1,6,16.33,0,1,1,3,5,4,4,0,1,2,19.18
طراحی لباس,4,1,علاقه شخصی,1,4,13.5,0,0,2,2,4,4,4,1,4,1,18
تربیت بدنی,5,2,علاقه شخصی,1,6,20,1,1,3,2,5,8,3,0,3,0,15
مهندسی شیمی,3,2,شانسی در اومدنش داخل کنکور,0,2,7,0,1,4,2,4,4,4,0,2,3,16.32
مهندسی کامپیوتر,4,0,بازار کار,1,8,15.13,1.13,0,2,4,3,6,2,1,4,6,15.31
مدیریت بازرگانی,4,0,علاقه شخصی,0,8,17.5,0.75,1,2,2,4,6,3,1,2,4,17
شیمی فیزیک,5,1,شانسی در اومدنش داخل کنکور,1,2,3,1.5,1,3,4,4,4,4,1,0,1,15
مهندسی صنایع غذایی,4,0,بازار کار,0,7,18,0.71,0,5,1,3,5,3,0,2,1,16
مهندسی کامپیوتر,4,4,بازار کار,1,2,8.5,0,1,3,3,5,3,4,0,1,1,14.98
حقوق,1,0,علاقه شخصی,1,6,15.33,0,1,3,1,5,4,5,1,3,0,15
مهندسی صنایع غذایی,5,1,شانسی در اومدنش داخل کنکور,0,8,9.95,0.38,0,2,2,3,6,4,0,1,1,16.6
مهندسی برق,9,3,علاقه شخصی,1,4,7.25,0,1,2,4,4,3,5,0,1,2,16
علوم ورزشی,5,2,علاقه شخصی,1,7,19.14,0,1,4,5,5,5,3,1,2,1,19.09
معماری,5,1,علاقه شخصی,1,4,19.9,0,1,2,1,5,7,3,0,2,0,19.76
مهندسی صنایع غذایی,6,2,علاقه شخصی,1,8,15.75,0.75,0,3,5,5,3,5,1,1,3,16.83
علوم ورزشی,5,2,شانسی در اومدنش داخل کنکور,0,6,19.67,0,0,2,2,4,6,5,0,1,2,18
حقوق,6,0,علاقه شخصی,1,6,16.33,0.33,1,2,1,5,4,5,0,1,2,16
پرستاری,5,2,علاقه شخصی,1,6,19.67,0,0,3,1,4,6,3,0,1,1,16
علوم ورزشی,4,1,علاقه شخصی,1,7,16.14,0,1,2,3,5,5,3,1,2,1,17.41
مهندسی کامپیوتر,2,2,بازار کار,1,9,14.44,2,1,3,2,4,6,3,1,4,1,14
معماری,4,2,علاقه شخصی,1,6,14.5,0,1,3,3,5,1,3,1,2,1,17.74
مهندسی کامپیوتر,5,0,شانسی در اومدنش داخل کنکور,0,7,12.86,2.57,0,2,1,1,3,4,0,3,0,14.5
مدیریت دولتی,4,0,بازار کار,1,4,12.5,0.75,1,2,1,2,7,4,1,4,2,16
ژنتیک,4,1,علاقه شخصی,0,6,19.67,0,1,3,4,4,5,4,0,3,2,18
علوم آزمایشگاهی,5,0,بازار کار,0,4,12.75,0.75,1,2,1,2,6,3,0,2,1,15.21
مهندسی کامپیوتر,4,2,بازار کار,0,8,12.25,1.5,1,2,4,2,7,4,1,5,1,15.1
عمران,4,1,بازار کار,1,3,19,11.67,0,2,2,4,4,4,1,4,2,15
مهندسی کامپیوتر,4,0,علاقه شخصی,1,8,16.75,1.88,0,2,3,5,5,2,1,0,4,16.9
مهندسی کامپیوتر,4,2,علاقه شخصی,1,4,22.25,0,1,4,5,4,9,3,0,1,3,16.14
مهندسی کامپیوتر,5,6,علاقه شخصی,1,6,15.33,0.5,1,3,5,5,2,5,1,0,1,17
مهندسی کامپیوتر,5,1,بازار کار,1,4,13.25,0.75,0,2,3,3,4,3,0,1,0,14.63
مهندسی کامپیوتر,3,0,علاقه شخصی,1,8,15.13,0.38,0,2,2,3,4,2,1,4,1,15.2
مهندسی صنایع,4,0,بازار کار,0,8,12.5,0.75,1,3,4,3,5,4,0,3,3,15
عمران,5,4,علاقه شخصی,1,3,11.33,3.33,1,2,4,5,4,3,1,1,2,14
عمران,4,6,علاقه شخصی,1,6,14,2.67,0,2,3,3,4,4,1,2,1,15.4
عمران,3,0,بازار کار,0,3,11.67,0.67,1,3,1,3,6,3,1,1,1,13
مهندسی کامپیوتر,5,2,بازار کار,0,2,8,1.5,1,3,2,3,8,2,0,2,5,14.5
مهندسی کامپیوتر,2,2,علاقه شخصی,0,2,9.5,0,1,2,2,4,5,4,0,3,2,15
مهندسی کامپیوتر,4,3,بازار کار,1,2,7,3,1,2,2,4,3,4,0,2,4,13.5
مهندسی کامپیوتر,3,1,بازار کار,1,3,6.67,6,0,3,2,2,4,4,1,2,2,13.33
مهندسی کامپیوتر,4,2,علاقه شخصی,1,2,9.5,3,1,3,4,5,5,3,0,1,1,12.95
مهندسی کامپیوتر,4,4,علاقه شخصی,0,2,8,1.5,1,3,3,5,2,3,0,1,0,15
مهندسی کامپیوتر,4,3,علاقه شخصی,1,2,6.5,3,1,3,3,4,4,4,0,2,4,14
مهندسی کامپیوتر,4,3,علاقه شخصی,0,4,9.25,3.75,0,1,1,3,10,1,0,3,4,13
مهندسی کامپیوتر,5,3,علاقه شخصی,1,6,15.5,0.5,1,3,5,5,6,1,0,1,1,16.8
مهندسی کامپیوتر,4,1,علاقه شخصی,1,6,15,0,1,3,3,4,5,5,0,3,4,16.47
مهندسی کامپیوتر,4,3,علاقه شخصی,0,2,6.5,3,1,1,3,4,3,4,0,0,4,13
مهندسی کامپیوتر,4,2,بازار کار,0,6,15,0,1,4,2,4,7,5,1,1,3,15
مهندسی کامپیوتر,4,1,علاقه شخصی,1,4,14,0.75,1,4,4,5,4,5,0,10,1,16
مهندسی کامپیوتر,8,2,علاقه شخصی,1,6,16,0,1,4,4,5,6,5,1,1,2,17.96
مهندسی کامپیوتر,4,1,بازار کار,1,6,23.33,1.5,1,3,1,3,8,4,1,3,6,13
مهندسی کامپیوتر,3,1,علاقه شخصی,0,6,14,2,0,2,2,4,7,4,1,3,1,17
مهندسی کامپیوتر,4,1,بازار کار,1,4,18.25,0.75,1,4,2,3,6,3,0,5,7,16
مهندسی کامپیوتر,6,1,بازار کار,1,4,13.25,0.75,1,2,4,3,5,3,0,3,10,14.63
